HomeTeam,AwayTeam,HomeGoals,AwayGoals,Date,win
1. FC Heidenheim 1846,Stuttgarter Kickers,2,1,2012-08-04T14:00:00,h
FC Hansa Rostock,SV Babelsberg 03,4,1,2012-08-04T14:00:00,h
VfL Osnabrück,Kickers Offenbach,2,0,2012-08-05T14:00:00,h
SV Babelsberg 03,SV Wehen Wiesbaden,2,2,2012-08-07T19:00:00,d
SpVgg Unterhaching,1. FC Heidenheim 1846,4,1,2012-08-07T19:00:00,h
Rot-Weiß Erfurt,VfB Stuttgart II,1,1,2012-08-07T19:00:00,d
1. FC Saarbrücken,Alemannia Aachen,1,2,2012-08-07T19:00:00,h
Borussia Dortmund II,Wacker Burghausen,2,1,2012-08-07T19:00:00,h
Stuttgarter Kickers,Hallescher FC,0,0,2012-08-08T19:00:00,d
Karlsruher SC,VfL Osnabrück,1,1,2012-08-08T19:00:00,h
Kickers Offenbach,Arminia Bielefeld,1,3,2012-08-08T19:00:00,a
Chemnitzer FC,SV Darmstadt 98,3,1,2012-08-08T19:00:00,h
Preußen Münster,FC Hansa Rostock,5,2,2012-08-08T19:00:00,d
Wacker Burghausen,SV Darmstadt 98,1,0,2012-08-11T14:00:00,d
VfL Osnabrück,Rot-Weiß Erfurt,1,0,2012-08-11T14:00:00,d
VfB Stuttgart II,Stuttgarter Kickers,1,4,2012-08-11T14:00:00,a
Hallescher FC,SpVgg Unterhaching,0,1,2012-08-11T14:00:00,d
1. FC Heidenheim 1846,SV Babelsberg 03,2,1,2012-08-11T14:00:00,h
SV Wehen Wiesbaden,Preußen Münster,2,2,2012-08-11T14:00:00,h
Borussia Dortmund II,1. FC Saarbrücken,1,2,2012-08-11T14:00:00,a
Alemannia Aachen,Kickers Offenbach,1,3,2012-08-11T14:00:00,a
Arminia Bielefeld,Karlsruher SC,1,0,2012-08-11T14:00:00,h
FC Hansa Rostock,Chemnitzer FC,0,0,2012-08-12T14:00:00,d
SpVgg Unterhaching,VfB Stuttgart II,0,3,2012-08-25T14:00:00,d
Stuttgarter Kickers,VfL Osnabrück,3,0,2012-08-25T14:00:00,h
Rot-Weiß Erfurt,Arminia Bielefeld,0,2,2012-08-25T14:00:00,a
Karlsruher SC,Alemannia Aachen,0,0,2012-08-25T14:00:00,d
Kickers Offenbach,Borussia Dortmund II,3,0,2012-08-25T14:00:00,h
1. FC Saarbrücken,Wacker Burghausen,3,0,2012-08-25T14:00:00,h
Chemnitzer FC,SV Wehen Wiesbaden,3,2,2012-08-25T14:00:00,a
Preußen Münster,1. FC Heidenheim 1846,1,1,2012-08-25T14:00:00,a
SV Babelsberg 03,Hallescher FC,0,1,2012-08-26T14:00:00,d
SV Darmstadt 98,FC Hansa Rostock,1,1,2012-08-26T14:00:00,h
VfL Osnabrück,SpVgg Unterhaching,3,0,2012-08-28T19:00:00,h
1. FC Heidenheim 1846,Chemnitzer FC,3,2,2012-08-28T19:00:00,h
1. FC Saarbrücken,Kickers Offenbach,2,2,2012-08-28T19:00:00,a
Borussia Dortmund II,Karlsruher SC,0,3,2012-08-28T19:00:00,d
Alemannia Aachen,Rot-Weiß Erfurt,1,1,2012-08-28T19:00:00,d
Wacker Burghausen,FC Hansa Rostock,2,0,2012-08-29T19:00:00,h
Hallescher FC,Preußen Münster,0,2,2012-08-29T19:00:00,a
SV Wehen Wiesbaden,SV Darmstadt 98,1,1,2012-08-29T19:00:00,a
Arminia Bielefeld,Stuttgarter Kickers,1,0,2012-08-29T19:00:00,d
VfB Stuttgart II,SV Babelsberg 03,2,1,2012-08-29T19:00:00,h
SV Babelsberg 03,VfL Osnabrück,1,0,2012-09-01T14:00:00,h
SpVgg Unterhaching,Arminia Bielefeld,3,2,2012-09-01T14:00:00,h
Stuttgarter Kickers,Alemannia Aachen,3,1,2012-09-01T14:00:00,h
Rot-Weiß Erfurt,Borussia Dortmund II,5,0,2012-09-01T14:00:00,h
Kickers Offenbach,Wacker Burghausen,1,0,2012-09-01T14:00:00,d
FC Hansa Rostock,SV Wehen Wiesbaden,1,1,2012-09-01T14:00:00,a
Chemnitzer FC,Hallescher FC,1,1,2012-09-01T14:00:00,d
Preußen Münster,VfB Stuttgart II,0,0,2012-09-01T14:00:00,d
Karlsruher SC,1. FC Saarbrücken,3,0,2012-09-02T14:00:00,d
SV Darmstadt 98,1. FC Heidenheim 1846,0,2,2012-09-02T14:00:00,d
VfB Stuttgart II,Chemnitzer FC,0,1,2012-09-14T19:00:00,d
Wacker Burghausen,SV Wehen Wiesbaden,0,0,2012-09-15T14:00:00,d
VfL Osnabrück,Preußen Münster,0,2,2012-09-15T14:00:00,a
Hallescher FC,SV Darmstadt 98,2,2,2012-09-15T14:00:00,h
Kickers Offenbach,Karlsruher SC,1,1,2012-09-15T14:00:00,d
1. FC Saarbrücken,Rot-Weiß Erfurt,0,2,2012-09-15T14:00:00,a
Alemannia Aachen,SpVgg Unterhaching,1,3,2012-09-15T14:00:00,d
Arminia Bielefeld,SV Babelsberg 03,3,0,2012-09-15T14:00:00,h
1. FC Heidenheim 1846,FC Hansa Rostock,1,2,2012-09-16T14:00:00,a
Borussia Dortmund II,Stuttgarter Kickers,1,1,2012-09-16T14:00:00,d
SV Wehen Wiesbaden,1. FC Heidenheim 1846,1,1,2012-09-21T19:00:00,d
SV Babelsberg 03,Alemannia Aachen,1,0,2012-09-22T14:00:00,h
SpVgg Unterhaching,Borussia Dortmund II,4,3,2012-09-22T14:00:00,h
Stuttgarter Kickers,1. FC Saarbrücken,1,2,2012-09-22T14:00:00,a
Rot-Weiß Erfurt,Kickers Offenbach,1,1,2012-09-22T14:00:00,h
Karlsruher SC,Wacker Burghausen,1,2,2012-09-22T14:00:00,d
SV Darmstadt 98,VfB Stuttgart II,3,1,2012-09-22T14:00:00,h
Chemnitzer FC,VfL Osnabrück,0,2,2012-09-22T14:00:00,d
Preußen Münster,Arminia Bielefeld,4,0,2012-09-22T14:00:00,h
FC Hansa Rostock,Hallescher FC,2,0,2012-09-22T14:30:00,h
VfB Stuttgart II,FC Hansa Rostock,0,2,2012-09-25T19:00:00,a
Hallescher FC,SV Wehen Wiesbaden,1,1,2012-09-25T19:00:00,d
Borussia Dortmund II,SV Babelsberg 03,0,0,2012-09-25T19:00:00,d
Alemannia Aachen,Preußen Münster,1,2,2012-09-25T19:00:00,d
Arminia Bielefeld,Chemnitzer FC,0,0,2012-09-25T19:00:00,d
Wacker Burghausen,1. FC Heidenheim 1846,4,1,2012-09-26T19:00:00,h
VfL Osnabrück,SV Darmstadt 98,1,0,2012-09-26T19:00:00,d
Karlsruher SC,Rot-Weiß Erfurt,3,0,2012-09-26T19:00:00,d
Kickers Offenbach,Stuttgarter Kickers,3,0,2012-09-26T19:00:00,h
1. FC Saarbrücken,SpVgg Unterhaching,2,4,2012-09-26T19:00:00,a
FC Hansa Rostock,VfL Osnabrück,0,3,2012-09-29T13:30:00,d
SV Babelsberg 03,1. FC Saarbrücken,0,1,2012-09-29T14:00:00,d
Rot-Weiß Erfurt,Wacker Burghausen,0,3,2012-09-29T14:00:00,a
1. FC Heidenheim 1846,Hallescher FC,3,1,2012-09-29T14:00:00,d
SV Wehen Wiesbaden,VfB Stuttgart II,0,0,2012-09-29T14:00:00,d
SV Darmstadt 98,Arminia Bielefeld,1,3,2012-09-29T14:00:00,a
Chemnitzer FC,Alemannia Aachen,1,2,2012-09-29T14:00:00,d
Preußen Münster,Borussia Dortmund II,1,0,2012-09-29T14:00:00,d
SpVgg Unterhaching,Kickers Offenbach,0,3,2012-09-30T14:00:00,a
Stuttgarter Kickers,Karlsruher SC,0,2,2012-10-24T18:00:00,a
VfL Osnabrück,SV Wehen Wiesbaden,2,2,2012-10-05T19:00:00,d
Wacker Burghausen,Hallescher FC,2,0,2012-10-06T14:00:00,d
VfB Stuttgart II,1. FC Heidenheim 1846,0,2,2012-10-06T14:00:00,a
Rot-Weiß Erfurt,Stuttgarter Kickers,0,3,2012-10-06T14:00:00,d
Karlsruher SC,SpVgg Unterhaching,0,0,2012-10-06T14:00:00,d
Kickers Offenbach,SV Babelsberg 03,5,2,2012-10-06T14:00:00,h
1. FC Saarbrücken,Preußen Münster,0,0,2012-10-06T14:00:00,d
Alemannia Aachen,SV Darmstadt 98,1,1,2012-10-06T14:00:00,d
Arminia Bielefeld,FC Hansa Rostock,0,1,2012-10-06T14:00:00,a
Borussia Dortmund II,Chemnitzer FC,1,2,2012-10-07T14:00:00,d
SV Babelsberg 03,Karlsruher SC,0,0,2012-10-20T14:00:00,d
SpVgg Unterhaching,Rot-Weiß Erfurt,2,2,2012-10-20T14:00:00,h
Stuttgarter Kickers,Wacker Burghausen,1,2,2012-10-20T14:00:00,a
Hallescher FC,VfB Stuttgart II,1,4,2012-10-20T14:00:00,d
1. FC Heidenheim 1846,VfL Osnabrück,1,3,2012-10-20T14:00:00,a
SV Wehen Wiesbaden,Arminia Bielefeld,0,1,2012-10-20T14:00:00,a
FC Hansa Rostock,Alemannia Aachen,1,0,2012-10-20T14:00:00,h
SV Darmstadt 98,Borussia Dortmund II,1,2,2012-10-20T14:00:00,h
Preußen Münster,Kickers Offenbach,2,2,2012-10-20T14:00:00,h
Chemnitzer FC,1. FC Saarbrücken,4,1,2012-10-21T14:00:00,h
Wacker Burghausen,VfB Stuttgart II,1,3,2012-10-27T14:00:00,d
VfL Osnabrück,Hallescher FC,2,0,2012-10-27T14:00:00,d
Stuttgarter Kickers,SpVgg Unterhaching,0,0,2012-10-27T14:00:00,d
Rot-Weiß Erfurt,SV Babelsberg 03,1,1,2012-10-27T14:00:00,a
Karlsruher SC,Preußen Münster,2,1,2012-10-27T14:00:00,h
Kickers Offenbach,Chemnitzer FC,0,0,2012-10-27T14:00:00,d
1. FC Saarbrücken,SV Darmstadt 98,3,1,2012-10-27T14:00:00,h
Borussia Dortmund II,FC Hansa Rostock,0,0,2012-10-27T14:00:00,d
Alemannia Aachen,SV Wehen Wiesbaden,1,1,2012-10-27T14:00:00,d
Arminia Bielefeld,1. FC Heidenheim 1846,1,0,2012-10-27T14:00:00,h
SpVgg Unterhaching,Wacker Burghausen,3,0,2012-11-02T19:00:00,d
1. FC Heidenheim 1846,Alemannia Aachen,1,1,2012-11-02T19:00:00,a
SV Babelsberg 03,Stuttgarter Kickers,1,0,2012-11-03T14:00:00,h
VfB Stuttgart II,VfL Osnabrück,1,2,2012-11-03T14:00:00,h
Hallescher FC,Arminia Bielefeld,2,2,2012-11-03T14:00:00,a
SV Wehen Wiesbaden,Borussia Dortmund II,3,1,2012-11-03T14:00:00,d
FC Hansa Rostock,1. FC Saarbrücken,2,0,2012-11-03T14:00:00,h
SV Darmstadt 98,Kickers Offenbach,1,0,2012-11-03T14:00:00,h
Chemnitzer FC,Karlsruher SC,1,2,2012-11-03T14:00:00,a
Preußen Münster,Rot-Weiß Erfurt,3,2,2012-11-03T14:00:00,h
SpVgg Unterhaching,SV Babelsberg 03,0,1,2012-11-09T19:00:00,d
Kickers Offenbach,FC Hansa Rostock,2,1,2012-11-09T19:00:00,h
Wacker Burghausen,VfL Osnabrück,1,1,2012-11-10T14:00:00,a
Stuttgarter Kickers,Preußen Münster,0,2,2012-11-10T14:00:00,a
Rot-Weiß Erfurt,Chemnitzer FC,3,2,2012-11-10T14:00:00,h
Karlsruher SC,SV Darmstadt 98,2,0,2012-11-10T14:00:00,d
1. FC Saarbrücken,SV Wehen Wiesbaden,3,3,2012-11-10T14:00:00,a
Borussia Dortmund II,1. FC Heidenheim 1846,2,1,2012-11-10T14:00:00,a
Alemannia Aachen,Hallescher FC,0,3,2012-11-10T14:00:00,d
Arminia Bielefeld,VfB Stuttgart II,1,1,2012-11-10T14:00:00,a
1. FC Heidenheim 1846,1. FC Saarbrücken,3,0,2012-11-16T19:00:00,h
Wacker Burghausen,SV Babelsberg 03,3,1,2012-11-17T14:00:00,h
VfL Osnabrück,Arminia Bielefeld,0,0,2012-11-17T14:00:00,d
VfB Stuttgart II,Alemannia Aachen,2,1,2012-11-17T14:00:00,d
Hallescher FC,Borussia Dortmund II,0,1,2012-11-17T14:00:00,a
SV Wehen Wiesbaden,Kickers Offenbach,2,1,2012-11-17T14:00:00,h
FC Hansa Rostock,Karlsruher SC,0,3,2012-11-17T14:00:00,d
Chemnitzer FC,Stuttgarter Kickers,2,0,2012-11-17T14:00:00,d
Preußen Münster,SpVgg Unterhaching,0,0,2012-11-17T14:00:00,d
SV Darmstadt 98,Rot-Weiß Erfurt,0,1,2012-11-18T14:00:00,d
SpVgg Unterhaching,Chemnitzer FC,4,3,2012-11-23T19:00:00,h
SV Babelsberg 03,Preußen Münster,1,0,2012-11-24T14:00:00,h
Stuttgarter Kickers,SV Darmstadt 98,1,1,2012-11-24T14:00:00,d
Rot-Weiß Erfurt,FC Hansa Rostock,1,1,2012-11-24T14:00:00,d
Karlsruher SC,SV Wehen Wiesbaden,4,0,2012-11-24T14:00:00,h
Kickers Offenbach,1. FC Heidenheim 1846,0,1,2012-11-24T14:00:00,a
1. FC Saarbrücken,Hallescher FC,5,0,2012-11-24T14:00:00,h
Borussia Dortmund II,VfB Stuttgart II,0,2,2012-11-24T14:00:00,a
Alemannia Aachen,VfL Osnabrück,0,1,2012-11-24T14:00:00,d
Arminia Bielefeld,Wacker Burghausen,3,0,2012-11-24T14:00:00,h
SpVgg Unterhaching,SV Darmstadt 98,2,2,2012-11-30T19:00:00,a
Alemannia Aachen,Arminia Bielefeld,2,1,2012-12-01T14:00:00,d
Preußen Münster,Wacker Burghausen,2,0,2012-12-01T14:00:00,d
Borussia Dortmund II,VfL Osnabrück,1,1,2012-12-01T14:00:00,d
1. FC Saarbrücken,VfB Stuttgart II,0,0,2012-12-01T14:00:00,d
Kickers Offenbach,Hallescher FC,0,1,2012-12-01T14:00:00,d
Karlsruher SC,1. FC Heidenheim 1846,5,2,2012-12-01T14:00:00,d
Rot-Weiß Erfurt,SV Wehen Wiesbaden,2,2,2012-12-01T14:00:00,d
SV Babelsberg 03,Chemnitzer FC,1,1,2012-12-01T14:00:00,d
Stuttgarter Kickers,FC Hansa Rostock,2,0,2012-12-01T14:00:00,d
FC Hansa Rostock,SpVgg Unterhaching,0,1,2012-12-08T14:00:00,d
Hallescher FC,Karlsruher SC,0,2,2012-12-08T14:00:00,a
VfL Osnabrück,1. FC Saarbrücken,3,0,2012-12-08T14:00:00,d
Arminia Bielefeld,Borussia Dortmund II,4,2,2012-12-08T14:00:00,a
Chemnitzer FC,Preußen Münster,2,2,2012-12-09T14:00:00,h
1. FC Heidenheim 1846,Rot-Weiß Erfurt,2,1,2013-01-30T18:30:00,d
SV Wehen Wiesbaden,Stuttgarter Kickers,0,2,2013-01-30T19:00:00,a
VfB Stuttgart II,Kickers Offenbach,1,0,2013-02-05T18:30:00,d
SV Darmstadt 98,SV Babelsberg 03,0,0,2013-02-13T19:00:00,d
Wacker Burghausen,Alemannia Aachen,2,0,2013-03-23T14:00:00,h
Chemnitzer FC,Wacker Burghausen,2,1,2012-12-15T14:00:00,h
Kickers Offenbach,VfL Osnabrück,1,5,2012-12-15T14:00:00,a
Karlsruher SC,VfB Stuttgart II,3,1,2012-12-15T14:00:00,d
Rot-Weiß Erfurt,Hallescher FC,2,1,2012-12-15T14:00:00,d
Stuttgarter Kickers,1. FC Heidenheim 1846,0,2,2012-12-15T14:00:00,a
Preußen Münster,SV Darmstadt 98,3,0,2012-12-15T14:00:00,h
Borussia Dortmund II,Alemannia Aachen,0,0,2013-01-30T19:00:00,d
SpVgg Unterhaching,SV Wehen Wiesbaden,0,2,2013-02-12T18:30:00,a
1. FC Saarbrücken,Arminia Bielefeld,2,4,2013-02-20T19:00:00,a
SV Babelsberg 03,FC Hansa Rostock,2,1,2013-04-16T19:00:00,h
Arminia Bielefeld,Kickers Offenbach,3,1,2013-01-25T19:00:00,h
SV Wehen Wiesbaden,SV Babelsberg 03,1,0,2013-01-26T14:00:00,h
1. FC Heidenheim 1846,SpVgg Unterhaching,2,1,2013-01-26T14:00:00,h
Hallescher FC,Stuttgarter Kickers,1,1,2013-01-26T14:00:00,d
VfL Osnabrück,Karlsruher SC,2,3,2013-01-26T14:00:00,a
Alemannia Aachen,1. FC Saarbrücken,2,0,2013-01-26T14:00:00,h
Wacker Burghausen,Borussia Dortmund II,2,2,2013-01-26T14:00:00,a
FC Hansa Rostock,Preußen Münster,0,2,2013-01-26T14:00:00,a
VfB Stuttgart II,Rot-Weiß Erfurt,1,0,2013-04-03T18:30:00,d
SV Darmstadt 98,Chemnitzer FC,1,1,2013-04-17T19:00:00,d
SV Darmstadt 98,Wacker Burghausen,0,0,2013-02-02T14:00:00,d
Rot-Weiß Erfurt,VfL Osnabrück,2,1,2013-02-02T14:00:00,d
Stuttgarter Kickers,VfB Stuttgart II,3,0,2013-02-02T14:00:00,h
SV Babelsberg 03,1. FC Heidenheim 1846,2,4,2013-02-02T14:00:00,a
Preußen Münster,SV Wehen Wiesbaden,0,0,2013-02-02T14:00:00,d
Chemnitzer FC,FC Hansa Rostock,2,1,2013-02-02T14:00:00,d
Kickers Offenbach,Alemannia Aachen,1,1,2013-02-02T14:00:00,d
Karlsruher SC,Arminia Bielefeld,0,0,2013-02-02T14:00:00,d
SpVgg Unterhaching,Hallescher FC,1,3,2013-02-03T14:00:00,d
1. FC Saarbrücken,Borussia Dortmund II,3,3,2013-02-03T14:00:00,h
SV Wehen Wiesbaden,Chemnitzer FC,0,0,2013-02-08T18:30:00,d
Alemannia Aachen,Karlsruher SC,0,4,2013-02-08T19:00:00,a
Hallescher FC,SV Babelsberg 03,1,0,2013-02-09T14:00:00,h
Arminia Bielefeld,Rot-Weiß Erfurt,2,0,2013-02-09T14:00:00,h
Wacker Burghausen,1. FC Saarbrücken,2,1,2013-02-09T14:00:00,h
1. FC Heidenheim 1846,Preußen Münster,3,1,2013-02-09T14:00:00,h
VfL Osnabrück,Stuttgarter Kickers,3,1,2013-02-10T14:00:00,h
VfB Stuttgart II,SpVgg Unterhaching,0,0,2013-03-12T18:30:00,d
FC Hansa Rostock,SV Darmstadt 98,0,0,2013-03-23T14:00:00,d
Borussia Dortmund II,Kickers Offenbach,0,0,2013-04-17T18:00:00,d
SpVgg Unterhaching,VfL Osnabrück,0,2,2013-02-16T14:00:00,a
Preußen Münster,Hallescher FC,2,0,2013-02-16T14:00:00,h
Chemnitzer FC,1. FC Heidenheim 1846,2,1,2013-02-16T14:00:00,h
Kickers Offenbach,1. FC Saarbrücken,2,0,2013-02-16T14:00:00,h
Karlsruher SC,Borussia Dortmund II,1,0,2013-02-16T14:00:00,h
SV Darmstadt 98,SV Wehen Wiesbaden,1,0,2013-02-17T14:00:00,d
FC Hansa Rostock,Wacker Burghausen,1,0,2013-03-06T19:00:00,h
Stuttgarter Kickers,Arminia Bielefeld,1,1,2013-03-23T15:00:00,h
SV Babelsberg 03,VfB Stuttgart II,0,0,2013-04-10T19:00:00,d
Rot-Weiß Erfurt,Alemannia Aachen,3,1,2013-04-16T19:00:00,h
SV Wehen Wiesbaden,FC Hansa Rostock,2,1,2013-02-22T18:30:00,d
VfL Osnabrück,SV Babelsberg 03,1,0,2013-02-23T14:00:00,d
Arminia Bielefeld,SpVgg Unterhaching,3,0,2013-02-23T14:00:00,h
Alemannia Aachen,Stuttgarter Kickers,3,0,2013-02-23T14:00:00,d
1. FC Saarbrücken,Karlsruher SC,0,0,2013-02-23T14:00:00,d
1. FC Heidenheim 1846,SV Darmstadt 98,3,0,2013-02-23T14:00:00,h
Hallescher FC,Chemnitzer FC,2,0,2013-02-23T14:00:00,d
Wacker Burghausen,Kickers Offenbach,0,0,2013-03-26T19:00:00,d
VfB Stuttgart II,Preußen Münster,0,1,2013-04-16T18:00:00,d
Borussia Dortmund II,Rot-Weiß Erfurt,4,3,2013-05-07T18:00:00,d
SV Wehen Wiesbaden,Wacker Burghausen,1,1,2013-03-02T14:00:00,a
Preußen Münster,VfL Osnabrück,3,1,2013-03-02T14:00:00,h
Chemnitzer FC,VfB Stuttgart II,1,0,2013-03-02T14:00:00,d
FC Hansa Rostock,1. FC Heidenheim 1846,0,2,2013-03-02T14:00:00,a
Karlsruher SC,Kickers Offenbach,2,1,2013-03-02T14:00:00,h
Rot-Weiß Erfurt,1. FC Saarbrücken,1,2,2013-03-02T14:00:00,a
SpVgg Unterhaching,Alemannia Aachen,1,0,2013-03-02T14:00:00,d
SV Babelsberg 03,Arminia Bielefeld,1,2,2013-03-02T14:00:00,h
SV Darmstadt 98,Hallescher FC,1,2,2013-03-03T14:00:00,h
Stuttgarter Kickers,Borussia Dortmund II,0,1,2013-04-09T19:00:00,a
VfL Osnabrück,Chemnitzer FC,2,2,2013-03-08T19:00:00,d
Alemannia Aachen,SV Babelsberg 03,1,2,2013-03-09T14:00:00,h
Borussia Dortmund II,SpVgg Unterhaching,2,1,2013-03-09T14:00:00,h
1. FC Saarbrücken,Stuttgarter Kickers,3,0,2013-03-09T14:00:00,h
Kickers Offenbach,Rot-Weiß Erfurt,0,1,2013-03-09T14:00:00,d
Wacker Burghausen,Karlsruher SC,1,2,2013-03-09T14:00:00,a
1. FC Heidenheim 1846,SV Wehen Wiesbaden,2,2,2013-03-09T14:00:00,a
VfB Stuttgart II,SV Darmstadt 98,0,2,2013-03-09T14:00:00,a
Arminia Bielefeld,Preußen Münster,1,1,2013-03-09T14:00:00,h
Hallescher FC,FC Hansa Rostock,3,1,2013-03-10T14:00:00,h
SpVgg Unterhaching,1. FC Saarbrücken,0,0,2013-03-15T19:00:00,d
1. FC Heidenheim 1846,Wacker Burghausen,2,1,2013-03-16T14:00:00,d
SV Darmstadt 98,VfL Osnabrück,1,0,2013-03-16T14:00:00,d
FC Hansa Rostock,VfB Stuttgart II,0,0,2013-03-16T14:00:00,d
Stuttgarter Kickers,Kickers Offenbach,0,2,2013-03-16T14:00:00,a
Preußen Münster,Alemannia Aachen,4,1,2013-03-16T14:00:00,h
Chemnitzer FC,Arminia Bielefeld,0,1,2013-03-16T14:00:00,d
SV Wehen Wiesbaden,Hallescher FC,2,0,2013-04-03T19:00:00,h
Rot-Weiß Erfurt,Karlsruher SC,0,1,2013-04-10T19:00:00,a
SV Babelsberg 03,Borussia Dortmund II,1,1,2013-04-30T19:00:00,d
1. FC Saarbrücken,SV Babelsberg 03,2,1,2013-03-30T14:00:00,d
Kickers Offenbach,SpVgg Unterhaching,1,0,2013-03-30T14:00:00,h
Karlsruher SC,Stuttgarter Kickers,3,0,2013-03-30T14:00:00,h
Wacker Burghausen,Rot-Weiß Erfurt,0,0,2013-03-30T14:00:00,d
VfL Osnabrück,FC Hansa Rostock,3,2,2013-03-30T14:00:00,a
Arminia Bielefeld,SV Darmstadt 98,0,0,2013-03-30T14:00:00,d
Hallescher FC,RB Leipzig,0,1,2013-07-19T20:30:00,a
Jahn Regensburg,SpVgg Unterhaching,0,0,2013-07-20T14:00:00,d
Borussia Dortmund II,VfB Stuttgart II,1,0,2013-07-20T14:00:00,h
SV Darmstadt 98,SV Elversberg 07,0,0,2013-07-20T14:00:00,d
FC Hansa Rostock,Holstein Kiel,0,0,2013-07-20T14:00:00,d
1. FC Saarbrücken,SV Wehen Wiesbaden,1,2,2013-07-20T14:00:00,a
Stuttgarter Kickers,Rot-Weiß Erfurt,0,1,2013-07-20T14:00:00,a
MSV Duisburg,1. FC Heidenheim 1846,0,1,2013-07-20T14:00:00,a
Preußen Münster,Wacker Burghausen,3,0,2013-07-20T14:00:00,h
Chemnitzer FC,VfL Osnabrück,0,3,2013-07-21T14:00:00,a
VfB Stuttgart II,SV Darmstadt 98,1,1,2013-07-26T19:00:00,d
VfL Osnabrück,Borussia Dortmund II,1,0,2013-07-26T19:00:00,h
SpVgg Unterhaching,Chemnitzer FC,1,1,2013-07-27T14:00:00,d
Wacker Burghausen,MSV Duisburg,0,2,2013-07-27T14:00:00,a
RB Leipzig,Preußen Münster,2,2,2013-07-27T14:00:00,d
Rot-Weiß Erfurt,Hallescher FC,3,0,2013-07-27T14:00:00,h
SV Wehen Wiesbaden,Stuttgarter Kickers,4,0,2013-07-27T14:00:00,h
Holstein Kiel,1. FC Saarbrücken,5,1,2013-07-27T14:00:00,h
SV Elversberg 07,FC Hansa Rostock,1,2,2013-07-27T14:00:00,a
1. FC Heidenheim 1846,Jahn Regensburg,2,2,2013-07-27T14:00:00,d
Borussia Dortmund II,SpVgg Unterhaching,4,2,2013-08-09T19:00:00,h
MSV Duisburg,Jahn Regensburg,2,1,2013-08-10T14:00:00,h
Hallescher FC,SV Wehen Wiesbaden,1,2,2013-08-10T14:00:00,a
Stuttgarter Kickers,Holstein Kiel,1,1,2013-08-10T14:00:00,d
1. FC Saarbrücken,SV Elversberg 07,2,0,2013-08-10T14:00:00,d
SV Darmstadt 98,VfL Osnabrück,0,2,2013-08-10T14:00:00,d
Chemnitzer FC,1. FC Heidenheim 1846,0,2,2013-08-10T14:00:00,a
Wacker Burghausen,RB Leipzig,1,2,2013-08-10T14:00:00,d
Preußen Münster,Rot-Weiß Erfurt,3,3,2013-08-10T14:00:00,d
FC Hansa Rostock,VfB Stuttgart II,3,1,2013-08-11T14:00:00,h
VfB Stuttgart II,1. FC Saarbrücken,2,0,2013-08-16T19:00:00,h
SV Elversberg 07,Stuttgarter Kickers,1,1,2013-08-16T19:00:00,a
SpVgg Unterhaching,SV Darmstadt 98,2,4,2013-08-17T14:00:00,a
VfL Osnabrück,FC Hansa Rostock,1,2,2013-08-17T14:00:00,a
Holstein Kiel,Hallescher FC,1,0,2013-08-17T14:00:00,h
SV Wehen Wiesbaden,Preußen Münster,1,1,2013-08-17T14:00:00,d
Rot-Weiß Erfurt,Wacker Burghausen,1,1,2013-08-17T14:00:00,d
Jahn Regensburg,Chemnitzer FC,3,5,2013-08-17T14:00:00,a
1. FC Heidenheim 1846,Borussia Dortmund II,4,0,2013-08-17T14:00:00,h
RB Leipzig,MSV Duisburg,1,1,2013-08-18T14:00:00,d
MSV Duisburg,Chemnitzer FC,1,1,2013-08-24T14:00:00,d
Hallescher FC,SV Elversberg 07,2,0,2013-08-24T14:00:00,d
1. FC Saarbrücken,VfL Osnabrück,0,0,2013-08-24T14:00:00,d
FC Hansa Rostock,SpVgg Unterhaching,0,1,2013-08-24T14:00:00,a
SV Darmstadt 98,1. FC Heidenheim 1846,1,0,2013-08-24T14:00:00,h
Borussia Dortmund II,Jahn Regensburg,1,2,2013-08-24T14:00:00,a
RB Leipzig,Rot-Weiß Erfurt,2,0,2013-08-24T14:00:00,h
Wacker Burghausen,SV Wehen Wiesbaden,1,3,2013-08-24T14:00:00,a
Preußen Münster,Holstein Kiel,0,3,2013-08-24T14:00:00,a
Stuttgarter Kickers,VfB Stuttgart II,0,2,2013-08-25T15:00:00,a
VfB Stuttgart II,Hallescher FC,1,2,2013-08-30T18:30:00,d
SpVgg Unterhaching,1. FC Saarbrücken,3,1,2013-08-31T14:00:00,h
VfL Osnabrück,Stuttgarter Kickers,2,2,2013-08-31T14:00:00,h
SV Elversberg 07,Preußen Münster,2,2,2013-08-31T14:00:00,h
Holstein Kiel,Wacker Burghausen,2,1,2013-08-31T14:00:00,h
SV Wehen Wiesbaden,RB Leipzig,2,1,2013-08-31T14:00:00,h
Rot-Weiß Erfurt,MSV Duisburg,1,3,2013-08-31T14:00:00,a
Chemnitzer FC,Borussia Dortmund II,2,0,2013-08-31T14:00:00,d
Jahn Regensburg,SV Darmstadt 98,2,0,2013-08-31T14:00:00,h
1. FC Heidenheim 1846,FC Hansa Rostock,2,0,2013-08-31T14:00:00,d
Hallescher FC,VfL Osnabrück,2,0,2013-09-03T18:30:00,h
MSV Duisburg,Borussia Dortmund II,1,2,2013-09-03T19:00:00,a
Stuttgarter Kickers,SpVgg Unterhaching,2,3,2013-09-03T19:00:00,a
