HomeTeam,AwayTeam,HomeGoals,AwayGoals,Date,win
Arminia Bielefeld,FC Rot-Weiss Erfurt,0,0,2011-09-10T14:00:00,d
SV Darmstadt 98,Wacker Burghausen,2,3,2011-09-10T14:00:00,a
VfR Aalen,1. FC Saarbrücken,1,1,2011-09-10T14:00:00,d
FC Carl Zeiss Jena,Chemnitzer FC,1,2,2011-09-11T14:00:00,a
FC Rot-Weiss Erfurt,SV Wehen Wiesbaden,2,2,2011-09-13T18:30:00,d
Preußen Münster,VfR Aalen,1,0,2011-09-13T19:00:00,h
1. FC Saarbrücken,SV Darmstadt 98,4,0,2011-09-13T19:00:00,h
Wacker Burghausen,Arminia Bielefeld,2,2,2011-09-13T19:00:00,d
1. FC Heidenheim 1846,VfL Osnabrück,0,2,2011-09-13T19:00:00,a
SV Sandhausen,Jahn Regensburg,2,1,2011-09-13T19:00:00,h
Rot-Weiss Oberhausen,FC Carl Zeiss Jena,1,2,2011-09-14T18:30:00,a
Chemnitzer FC,SV Babelsberg 03,2,1,2011-09-14T18:30:00,h
SpVgg Unterhaching,Werder Bremen II,0,2,2011-09-14T19:00:00,a
Kickers Offenbach,VfB Stuttgart II,2,0,2011-09-14T19:00:00,h
SV Wehen Wiesbaden,Wacker Burghausen,0,0,2011-09-16T19:00:00,d
VfL Osnabrück,Kickers Offenbach,1,0,2011-09-17T14:00:00,h
VfB Stuttgart II,SpVgg Unterhaching,2,1,2011-09-17T14:00:00,h
Werder Bremen II,Chemnitzer FC,0,2,2011-09-17T14:00:00,a
SV Babelsberg 03,Rot-Weiss Oberhausen,1,0,2011-09-17T14:00:00,h
FC Carl Zeiss Jena,SV Sandhausen,1,1,2011-09-17T14:00:00,d
Arminia Bielefeld,1. FC Saarbrücken,0,4,2011-09-17T14:00:00,a
SV Darmstadt 98,Preußen Münster,2,1,2011-09-17T14:00:00,h
VfR Aalen,1. FC Heidenheim 1846,0,0,2011-09-17T14:00:00,d
Jahn Regensburg,FC Rot-Weiss Erfurt,2,2,2011-09-18T14:00:00,d
1. FC Saarbrücken,SV Wehen Wiesbaden,2,1,2011-09-24T14:00:00,h
Wacker Burghausen,Jahn Regensburg,1,1,2011-09-24T14:00:00,d
Rot-Weiss Oberhausen,Werder Bremen II,1,1,2011-09-24T14:00:00,d
Chemnitzer FC,VfB Stuttgart II,1,1,2011-09-24T14:00:00,d
SpVgg Unterhaching,VfL Osnabrück,1,1,2011-09-24T14:00:00,d
Kickers Offenbach,VfR Aalen,2,1,2011-09-24T14:00:00,h
SV Sandhausen,FC Rot-Weiss Erfurt,2,1,2011-10-08T14:00:00,h
FC Carl Zeiss Jena,SV Babelsberg 03,1,2,2011-10-08T14:00:00,a
1. FC Heidenheim 1846,SV Darmstadt 98,2,1,2011-10-08T14:00:00,h
Preußen Münster,Arminia Bielefeld,0,0,2011-11-12T15:00:00,d
Werder Bremen II,FC Carl Zeiss Jena,2,2,2011-09-30T18:30:00,d
VfL Osnabrück,Chemnitzer FC,1,0,2011-10-01T14:00:00,h
VfB Stuttgart II,Rot-Weiss Oberhausen,1,1,2011-10-01T14:00:00,d
SV Babelsberg 03,SV Sandhausen,1,2,2011-10-01T14:00:00,a
FC Rot-Weiss Erfurt,Wacker Burghausen,3,3,2011-10-01T14:00:00,d
Jahn Regensburg,1. FC Saarbrücken,4,1,2011-10-01T14:00:00,h
SV Wehen Wiesbaden,Preußen Münster,3,0,2011-10-01T14:00:00,h
Arminia Bielefeld,1. FC Heidenheim 1846,0,1,2011-10-01T14:00:00,a
VfR Aalen,SpVgg Unterhaching,1,0,2011-10-01T14:00:00,h
SV Darmstadt 98,Kickers Offenbach,0,0,2011-10-02T14:00:00,d
FC Carl Zeiss Jena,VfB Stuttgart II,1,2,2011-10-14T18:30:00,a
Rot-Weiss Oberhausen,VfL Osnabrück,1,1,2011-10-14T19:00:00,d
SpVgg Unterhaching,SV Darmstadt 98,1,0,2011-10-14T19:00:00,h
SV Sandhausen,Wacker Burghausen,3,1,2011-10-15T14:00:00,h
Preußen Münster,Jahn Regensburg,2,0,2011-10-15T14:00:00,h
1. FC Saarbrücken,FC Rot-Weiss Erfurt,0,2,2011-10-15T14:00:00,a
SV Babelsberg 03,Werder Bremen II,2,3,2011-10-15T14:00:00,a
Chemnitzer FC,VfR Aalen,0,1,2011-10-15T14:00:00,a
Kickers Offenbach,Arminia Bielefeld,0,1,2011-10-15T14:00:00,a
1. FC Heidenheim 1846,SV Wehen Wiesbaden,1,1,2011-10-15T14:00:00,d
SV Wehen Wiesbaden,Kickers Offenbach,3,1,2011-10-21T19:00:00,h
Arminia Bielefeld,SpVgg Unterhaching,2,1,2011-10-21T19:00:00,h
VfL Osnabrück,FC Carl Zeiss Jena,2,2,2011-10-22T14:00:00,d
VfB Stuttgart II,SV Babelsberg 03,3,1,2011-10-22T14:00:00,h
Werder Bremen II,SV Sandhausen,0,2,2011-10-22T14:00:00,a
Wacker Burghausen,1. FC Saarbrücken,2,0,2011-10-22T14:00:00,h
FC Rot-Weiss Erfurt,Preußen Münster,1,1,2011-10-22T14:00:00,d
Jahn Regensburg,1. FC Heidenheim 1846,1,1,2011-10-22T14:00:00,d
SV Darmstadt 98,Chemnitzer FC,2,1,2011-10-22T14:00:00,h
VfR Aalen,Rot-Weiss Oberhausen,0,0,2011-10-22T14:00:00,d
Chemnitzer FC,Arminia Bielefeld,1,1,2011-10-28T18:30:00,d
SV Sandhausen,1. FC Saarbrücken,1,1,2011-10-29T14:00:00,d
Preußen Münster,Wacker Burghausen,0,0,2011-10-29T14:00:00,d
Werder Bremen II,VfB Stuttgart II,3,1,2011-10-29T14:00:00,h
SV Babelsberg 03,VfL Osnabrück,2,1,2011-10-29T14:00:00,h
FC Carl Zeiss Jena,VfR Aalen,2,3,2011-10-29T14:00:00,a
Rot-Weiss Oberhausen,SV Darmstadt 98,1,1,2011-10-29T14:00:00,d
SpVgg Unterhaching,SV Wehen Wiesbaden,5,1,2011-10-29T14:00:00,h
Kickers Offenbach,Jahn Regensburg,2,1,2011-10-29T14:00:00,h
1. FC Heidenheim 1846,FC Rot-Weiss Erfurt,0,1,2011-10-29T14:00:00,a
SV Darmstadt 98,FC Carl Zeiss Jena,3,0,2011-11-04T18:30:00,h
Arminia Bielefeld,Rot-Weiss Oberhausen,3,0,2011-11-05T13:30:00,h
VfL Osnabrück,Werder Bremen II,1,1,2011-11-05T14:00:00,d
VfB Stuttgart II,SV Sandhausen,0,1,2011-11-05T14:00:00,a
1. FC Saarbrücken,Preußen Münster,2,2,2011-11-05T14:00:00,d
Wacker Burghausen,1. FC Heidenheim 1846,2,1,2011-11-05T14:00:00,h
FC Rot-Weiss Erfurt,Kickers Offenbach,0,0,2011-11-05T14:00:00,d
Jahn Regensburg,SpVgg Unterhaching,2,0,2011-11-05T14:00:00,h
SV Wehen Wiesbaden,Chemnitzer FC,2,0,2011-11-05T14:00:00,h
VfR Aalen,SV Babelsberg 03,1,3,2011-11-05T14:00:00,a
SpVgg Unterhaching,FC Rot-Weiss Erfurt,1,3,2011-11-18T18:30:00,a
VfB Stuttgart II,VfL Osnabrück,1,0,2011-11-18T19:00:00,h
SV Sandhausen,Preußen Münster,2,0,2011-11-19T14:00:00,h
Werder Bremen II,VfR Aalen,0,4,2011-11-19T14:00:00,a
SV Babelsberg 03,SV Darmstadt 98,1,1,2011-11-19T14:00:00,d
FC Carl Zeiss Jena,Arminia Bielefeld,4,3,2011-11-19T14:00:00,h
Rot-Weiss Oberhausen,SV Wehen Wiesbaden,2,1,2011-11-19T14:00:00,h
Chemnitzer FC,Jahn Regensburg,0,3,2011-11-19T14:00:00,a
Kickers Offenbach,Wacker Burghausen,2,2,2011-11-19T14:00:00,d
1. FC Heidenheim 1846,1. FC Saarbrücken,1,1,2011-11-19T14:00:00,d
SV Sandhausen,VfL Osnabrück,0,0,2011-11-25T19:00:00,d
Preußen Münster,1. FC Heidenheim 1846,2,1,2011-11-26T14:00:00,h
1. FC Saarbrücken,Kickers Offenbach,3,1,2011-11-26T14:00:00,h
Wacker Burghausen,SpVgg Unterhaching,3,1,2011-11-26T14:00:00,h
FC Rot-Weiss Erfurt,Chemnitzer FC,0,0,2011-11-26T14:00:00,d
Jahn Regensburg,Rot-Weiss Oberhausen,0,0,2011-11-26T14:00:00,d
SV Wehen Wiesbaden,FC Carl Zeiss Jena,0,0,2011-11-26T14:00:00,d
