"['FC Bayern', 'TSG 1899 Hoffenheim']","[3, 1]",2018-08-24T20:30:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Logo_FC_Bayern_M%C3%BCnchen_%282002%E2%80%932017%29.svg/240px-Logo_FC_Bayern_M%C3%BCnchen_%282002%E2%80%932017%29.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/6/64/TSG_Logo-Standard_4c.png']"
"['Hertha BSC', '1. FC N�rnberg']","[1, 0]",2018-08-25T15:30:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/2858px-Hertha_BSC_Logo_2012.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_N�rnberg_logo.svg']"
"['Werder Bremen', 'Hannover 96']","[1, 1]",2018-08-25T15:30:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg']"
"['SC Freiburg', 'Eintracht Frankfurt']","[0, 2]",2018-08-25T15:30:00,"['https://upload.wikimedia.org/wikipedia/de/thumb/f/f1/SC-Freiburg_Logo-neu.svg/739px-SC-Freiburg_Logo-neu.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Eintracht_Frankfurt_Logo.svg/1024px-Eintracht_Frankfurt_Logo.svg.png']"
"['VfL Wolfsburg', 'FC Schalke 04']","[2, 1]",2018-08-25T15:30:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/1024px-Logo-VfL-Wolfsburg.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg']"
"['Fortuna D�sseldorf', 'FC Augsburg']","[1, 2]",2018-08-25T15:30:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png', 'https://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg']"
"['Borussia M�nchengladbach', 'Bayer Leverkusen']","[2, 0]",2018-08-25T18:30:00,"['https://upload.wikimedia.org/wikipedia/commons/8/81/Borussia_M�nchengladbach_logo.svg', 'https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1280px-Bayer_Leverkusen_Logo.svg.png']"
"['1. FSV Mainz 05', 'VfB Stuttgart']","[1, 0]",2018-08-26T15:30:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1099px-Logo_Mainz_05.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/921px-VfB_Stuttgart_1893_Logo.svg.png']"
"['Borussia Dortmund', 'RB Leipzig']","[4, 1]",2018-08-26T18:00:00,"['https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/240px-Borussia_Dortmund_logo.svg.png', 'https://upload.wikimedia.org/wikipedia/en/thumb/0/04/RB_Leipzig_2014_logo.svg/800px-RB_Leipzig_2014_logo.svg.png']"
"['Hannover 96', 'Borussia Dortmund']","[0, 0]",2018-08-31T20:30:00
"['TSG 1899 Hoffenheim', 'SC Freiburg']","[3, 1]",2018-09-01T15:30:00
"['Bayer Leverkusen', 'VfL Wolfsburg']","[1, 3]",2018-09-01T15:30:00
"['Eintracht Frankfurt', 'Werder Bremen']","[1, 2]",2018-09-01T15:30:00
"['FC Augsburg', 'Borussia M�nchengladbach']","[1, 1]",2018-09-01T15:30:00
"['1. FC N�rnberg', '1. FSV Mainz 05']","[1, 1]",2018-09-01T15:30:00
"['VfB Stuttgart', 'FC Bayern']","[0, 3]",2018-09-01T18:30:00
"['RB Leipzig', 'Fortuna D�sseldorf']","[1, 1]",2018-09-02T15:30:00
"['FC Schalke 04', 'Hertha BSC']","[0, 2]",2018-09-02T18:00:00
"['Borussia Dortmund', 'Eintracht Frankfurt']","[3, 1]",2018-09-14T20:30:00
"['FC Bayern', 'Bayer Leverkusen']","[3, 1]",2018-09-15T15:30:00
"['RB Leipzig', 'Hannover 96']","[3, 2]",2018-09-15T15:30:00
"['1. FSV Mainz 05', 'FC Augsburg']","[2, 1]",2018-09-15T15:30:00
"['VfL Wolfsburg', 'Hertha BSC']","[2, 2]",2018-09-15T15:30:00
"['Fortuna D�sseldorf', 'TSG 1899 Hoffenheim']","[2, 1]",2018-09-15T15:30:00
"['Borussia M�nchengladbach', 'FC Schalke 04']","[2, 1]",2018-09-15T18:30:00
"['Werder Bremen', '1. FC N�rnberg']","[1, 1]",2018-09-16T15:30:00
"['SC Freiburg', 'VfB Stuttgart']","[3, 3]",2018-09-16T18:00:00
"['VfB Stuttgart', 'Fortuna D�sseldorf']","[0, 0]",2018-09-21T20:30:00
"['TSG 1899 Hoffenheim', 'Borussia Dortmund']","[1, 1]",2018-09-22T15:30:00
"['Hertha BSC', 'Borussia M�nchengladbach']","[4, 2]",2018-09-22T15:30:00
"['FC Augsburg', 'Werder Bremen']","[2, 3]",2018-09-22T15:30:00
"['VfL Wolfsburg', 'SC Freiburg']","[1, 3]",2018-09-22T15:30:00
"['1. FC N�rnberg', 'Hannover 96']","[2, 0]",2018-09-22T15:30:00
"['FC Schalke 04', 'FC Bayern']","[0, 2]",2018-09-22T18:30:00
"['Bayer Leverkusen', '1. FSV Mainz 05']","[1, 0]",2018-09-23T15:30:00
"['Eintracht Frankfurt', 'RB Leipzig']","[1, 1]",2018-09-23T18:00:00
"['Werder Bremen', 'Hertha BSC']","[3, 1]",2018-09-25T18:30:00
"['FC Bayern', 'FC Augsburg']","[1, 1]",2018-09-25T20:30:00
"['Hannover 96', 'TSG 1899 Hoffenheim']","[1, 3]",2018-09-25T20:30:00
"['SC Freiburg', 'FC Schalke 04']","[1, 0]",2018-09-25T20:30:00
"['Fortuna D�sseldorf', 'Bayer Leverkusen']","[1, 2]",2018-09-26T18:30:00
"['Borussia Dortmund', '1. FC N�rnberg']","[7, 0]",2018-09-26T20:30:00
"['RB Leipzig', 'VfB Stuttgart']","[2, 0]",2018-09-26T20:30:00
"['Borussia M�nchengladbach', 'Eintracht Frankfurt']","[3, 1]",2018-09-26T20:30:00
"['1. FSV Mainz 05', 'VfL Wolfsburg']","[0, 0]",2018-09-26T20:30:00
