"['FC Bayern', 'VfL Wolfsburg']","[2, 1]",2014-08-22T20:30:00
"['TSG 1899 Hoffenheim', 'FC Augsburg']","[2, 0]",2014-08-23T15:30:00
"['Hannover 96', 'FC Schalke 04']","[2, 1]",2014-08-23T15:30:00
"['Hertha BSC', 'Werder Bremen']","[2, 2]",2014-08-23T15:30:00
"['Eintracht Frankfurt', 'SC Freiburg']","[1, 0]",2014-08-23T15:30:00
"['1. FC Köln', 'Hamburger SV']","[0, 0]",2014-08-23T15:30:00
"['Borussia Dortmund', 'Bayer Leverkusen']","[0, 2]",2014-08-23T18:30:00
"['SC Paderborn 07', '1. FSV Mainz 05']","[2, 2]",2014-08-24T15:30:00
"['Borussia Mönchengladbach', 'VfB Stuttgart']","[1, 1]",2014-08-24T17:30:00
"['FC Augsburg', 'Borussia Dortmund']","[2, 3]",2014-08-29T20:30:00
"['Bayer Leverkusen', 'Hertha BSC']","[4, 2]",2014-08-30T15:30:00
"['VfL Wolfsburg', 'Eintracht Frankfurt']","[2, 2]",2014-08-30T15:30:00
"['Werder Bremen', 'TSG 1899 Hoffenheim']","[1, 1]",2014-08-30T15:30:00
"['VfB Stuttgart', '1. FC Köln']","[0, 2]",2014-08-30T15:30:00
"['Hamburger SV', 'SC Paderborn 07']","[0, 3]",2014-08-30T15:30:00
"['FC Schalke 04', 'FC Bayern']","[1, 1]",2014-08-30T18:30:00
"['1. FSV Mainz 05', 'Hannover 96']","[0, 0]",2014-08-31T15:30:00
"['SC Freiburg', 'Borussia Mönchengladbach']","[0, 0]",2014-08-31T17:30:00
"['Bayer Leverkusen', 'Werder Bremen']","[3, 3]",2014-09-12T20:30:00
"['FC Bayern', 'VfB Stuttgart']","[2, 0]",2014-09-13T15:30:00
"['Borussia Dortmund', 'SC Freiburg']","[3, 1]",2014-09-13T15:30:00
"['TSG 1899 Hoffenheim', 'VfL Wolfsburg']","[1, 1]",2014-09-13T15:30:00
"['Hertha BSC', '1. FSV Mainz 05']","[1, 3]",2014-09-13T15:30:00
"['SC Paderborn 07', '1. FC Köln']","[0, 0]",2014-09-13T15:30:00
"['Borussia Mönchengladbach', 'FC Schalke 04']","[4, 1]",2014-09-13T18:30:00
"['Eintracht Frankfurt', 'FC Augsburg']","[0, 1]",2014-09-14T15:30:00
"['Hannover 96', 'Hamburger SV']","[2, 0]",2014-09-14T17:30:00
"['SC Freiburg', 'Hertha BSC']","[2, 2]",2014-09-19T20:30:00
"['FC Schalke 04', 'Eintracht Frankfurt']","[2, 2]",2014-09-20T15:30:00
"['FC Augsburg', 'Werder Bremen']","[4, 2]",2014-09-20T15:30:00
"['VfB Stuttgart', 'TSG 1899 Hoffenheim']","[0, 2]",2014-09-20T15:30:00
"['Hamburger SV', 'FC Bayern']","[0, 0]",2014-09-20T15:30:00
"['SC Paderborn 07', 'Hannover 96']","[2, 0]",2014-09-20T15:30:00
"['1. FSV Mainz 05', 'Borussia Dortmund']","[2, 0]",2014-09-20T18:30:00
"['VfL Wolfsburg', 'Bayer Leverkusen']","[2, 1]",2014-09-21T15:30:00
"['1. FC Köln', 'Borussia Mönchengladbach']","[0, 0]",2014-09-21T17:30:00
"['FC Bayern', 'SC Paderborn 07']","[4, 0]",2014-09-23T20:00:00
