HomeTeam,AwayTeam,HomeGoals,AwayGoals,Date,win
SG Dynamo Dresden,1. FC Heidenheim 1846,2,1,2017-04-05T17:30:00,h
SV Sandhausen,Arminia Bielefeld,1,3,2017-04-07T18:30:00,a
FC Kickers Würzburg,Hannover 96,0,0,2017-04-07T18:30:00,d
1. FC Nürnberg,FC St. Pauli,0,2,2017-04-07T18:30:00,a
1. FC Heidenheim 1846,VfL Bochum,0,0,2017-04-08T13:00:00,d
1. FC Kaiserslautern,SpVgg Greuther Fürth,2,0,2017-04-08T13:00:00,h
Erzgebirge Aue,TSV 1860 München,3,0,2017-04-09T13:30:00,h
Fortuna Düsseldorf,1. FC Union Berlin,2,2,2017-04-09T13:30:00,d
VfB Stuttgart,Karlsruher SC,2,0,2017-04-09T13:30:00,h
Eintracht Braunschweig,SG Dynamo Dresden,1,0,2017-04-10T20:15:00,h
1. FC Nürnberg,Erzgebirge Aue,2,1,2017-04-15T13:00:00,h
Hannover 96,Eintracht Braunschweig,1,0,2017-04-15T13:00:00,h
TSV 1860 München,SV Sandhausen,1,1,2017-04-16T13:30:00,d
SG Dynamo Dresden,Fortuna Düsseldorf,1,1,2017-04-16T13:30:00,d
FC St. Pauli,FC Kickers Würzburg,1,0,2017-04-16T13:30:00,h
VfL Bochum,SpVgg Greuther Fürth,1,0,2017-04-16T13:30:00,h
1. FC Union Berlin,1. FC Kaiserslautern,3,1,2017-04-16T13:30:00,h
Karlsruher SC,1. FC Heidenheim 1846,0,1,2017-04-16T13:30:00,a
Arminia Bielefeld,VfB Stuttgart,2,3,2017-04-17T20:15:00,a
1. FC Kaiserslautern,TSV 1860 München,1,0,2017-04-21T18:30:00,h
SpVgg Greuther Fürth,SG Dynamo Dresden,1,0,2017-04-21T18:30:00,h
Fortuna Düsseldorf,FC St. Pauli,1,3,2017-04-21T18:30:00,a
1. FC Heidenheim 1846,Arminia Bielefeld,2,2,2017-04-22T13:00:00,d
Erzgebirge Aue,Hannover 96,2,2,2017-04-22T13:00:00,d
SV Sandhausen,Karlsruher SC,4,0,2017-04-23T13:30:00,h
FC Kickers Würzburg,1. FC Nürnberg,1,1,2017-04-23T13:30:00,d
Eintracht Braunschweig,VfL Bochum,2,0,2017-04-23T13:30:00,h
VfB Stuttgart,1. FC Union Berlin,3,1,2017-04-24T20:15:00,h
FC St. Pauli,1. FC Heidenheim 1846,3,0,2017-04-28T18:30:00,h
1. FC Union Berlin,SV Sandhausen,2,1,2017-04-28T18:30:00,h
VfL Bochum,SG Dynamo Dresden,4,2,2017-04-28T18:30:00,h
Karlsruher SC,1. FC Kaiserslautern,1,3,2017-04-29T13:00:00,a
1. FC Nürnberg,VfB Stuttgart,2,3,2017-04-29T13:00:00,a
Arminia Bielefeld,SpVgg Greuther Fürth,1,1,2017-04-29T13:00:00,d
Hannover 96,Fortuna Düsseldorf,1,0,2017-04-30T13:30:00,h
Erzgebirge Aue,FC Kickers Würzburg,3,1,2017-04-30T13:30:00,h
TSV 1860 München,Eintracht Braunschweig,0,1,2017-04-30T13:30:00,a
1. FC Kaiserslautern,FC St. Pauli,1,2,2017-05-05T18:30:00,a
SG Dynamo Dresden,TSV 1860 München,1,2,2017-05-05T18:30:00,a
1. FC Heidenheim 1846,Hannover 96,0,2,2017-05-05T18:30:00,a
Fortuna Düsseldorf,FC Kickers Würzburg,1,1,2017-05-06T13:00:00,d
SV Sandhausen,1. FC Nürnberg,0,1,2017-05-06T13:00:00,a
SpVgg Greuther Fürth,Karlsruher SC,0,1,2017-05-07T13:30:00,a
VfL Bochum,Arminia Bielefeld,1,1,2017-05-07T13:30:00,d
VfB Stuttgart,Erzgebirge Aue,3,0,2017-05-07T13:30:00,h
Eintracht Braunschweig,1. FC Union Berlin,3,1,2017-05-08T20:15:00,h
TSV 1860 München,VfL Bochum,1,2,2017-05-14T15:30:00,a
Arminia Bielefeld,Eintracht Braunschweig,6,0,2017-05-14T15:30:00,h
FC St. Pauli,SpVgg Greuther Fürth,1,1,2017-05-14T15:30:00,d
Erzgebirge Aue,1. FC Kaiserslautern,1,0,2017-05-14T15:30:00,h
1. FC Union Berlin,1. FC Heidenheim 1846,0,1,2017-05-14T15:30:00,a
FC Kickers Würzburg,SV Sandhausen,0,1,2017-05-14T15:30:00,a
1. FC Nürnberg,Fortuna Düsseldorf,2,3,2017-05-14T15:30:00,a
Hannover 96,VfB Stuttgart,1,0,2017-05-14T15:30:00,h
Karlsruher SC,SG Dynamo Dresden,3,4,2017-05-14T15:30:00,a
SV Sandhausen,Hannover 96,1,1,2017-05-21T15:30:00,d
VfB Stuttgart,FC Kickers Würzburg,4,1,2017-05-21T15:30:00,h
1. FC Kaiserslautern,1. FC Nürnberg,1,0,2017-05-21T15:30:00,h
VfL Bochum,FC St. Pauli,1,3,2017-05-21T15:30:00,a
SpVgg Greuther Fürth,1. FC Union Berlin,1,2,2017-05-21T15:30:00,a
Eintracht Braunschweig,Karlsruher SC,2,1,2017-05-21T15:30:00,h
SG Dynamo Dresden,Arminia Bielefeld,1,1,2017-05-21T15:30:00,d
1. FC Heidenheim 1846,TSV 1860 München,2,1,2017-05-21T15:30:00,h
Fortuna Düsseldorf,Erzgebirge Aue,1,0,2017-05-21T15:30:00,h
VfL Bochum,FC St. Pauli,0,1,2017-07-28T20:30:00,d
FC Ingolstadt 04,1. FC Union Berlin,0,1,2017-07-29T13:00:00,d
SV Darmstadt 98,SpVgg Greuther Fürth,1,0,2017-07-29T15:30:00,d
Arminia Bielefeld,Jahn Regensburg,2,1,2017-07-29T15:30:00,d
1. FC Nürnberg,1. FC Kaiserslautern,3,0,2017-07-30T13:30:00,h
SG Dynamo Dresden,MSV Duisburg,1,0,2017-07-30T15:30:00,d
1. FC Heidenheim 1846,Erzgebirge Aue,2,1,2017-07-30T15:30:00,d
Holstein Kiel,SV Sandhausen,2,2,2017-07-30T15:30:00,a
Fortuna Düsseldorf,Eintracht Braunschweig,2,2,2017-07-31T20:30:00,d
1. FC Union Berlin,Holstein Kiel,4,3,2017-08-04T18:30:00,d
SV Sandhausen,FC Ingolstadt 04,1,0,2017-08-04T18:30:00,d
1. FC Kaiserslautern,SV Darmstadt 98,1,1,2017-08-04T20:30:00,h
MSV Duisburg,VfL Bochum,1,1,2017-08-05T13:00:00,h
Eintracht Braunschweig,1. FC Heidenheim 1846,2,0,2017-08-05T15:30:00,h
Jahn Regensburg,1. FC Nürnberg,0,1,2017-08-06T13:30:00,d
SpVgg Greuther Fürth,Arminia Bielefeld,1,2,2017-08-06T15:30:00,a
Erzgebirge Aue,Fortuna Düsseldorf,0,2,2017-08-06T15:30:00,a
FC St. Pauli,SG Dynamo Dresden,2,2,2017-08-07T20:30:00,d
SV Darmstadt 98,FC St. Pauli,3,0,2017-08-18T18:30:00,h
Eintracht Braunschweig,Erzgebirge Aue,1,1,2017-08-18T18:30:00,d
SG Dynamo Dresden,SV Sandhausen,0,4,2017-08-19T13:00:00,a
1. FC Heidenheim 1846,MSV Duisburg,1,2,2017-08-19T13:00:00,d
Fortuna Düsseldorf,1. FC Kaiserslautern,2,0,2017-08-19T13:00:00,h
FC Ingolstadt 04,Jahn Regensburg,2,4,2017-08-20T13:30:00,a
1. FC Nürnberg,1. FC Union Berlin,2,2,2017-08-20T13:30:00,d
Holstein Kiel,SpVgg Greuther Fürth,3,1,2017-08-20T13:30:00,h
Arminia Bielefeld,VfL Bochum,2,0,2017-08-21T20:30:00,h
SpVgg Greuther Fürth,FC Ingolstadt 04,0,1,2017-08-25T18:30:00,d
MSV Duisburg,SV Darmstadt 98,1,2,2017-08-25T18:30:00,d
FC St. Pauli,1. FC Heidenheim 1846,1,0,2017-08-26T13:00:00,d
Erzgebirge Aue,1. FC Nürnberg,3,1,2017-08-26T13:00:00,d
Jahn Regensburg,Holstein Kiel,1,2,2017-08-26T13:00:00,a
1. FC Union Berlin,Arminia Bielefeld,1,1,2017-08-27T13:30:00,d
VfL Bochum,SG Dynamo Dresden,3,2,2017-08-27T13:30:00,h
SV Sandhausen,Fortuna Düsseldorf,1,2,2017-08-27T13:30:00,h
1. FC Kaiserslautern,Eintracht Braunschweig,1,1,2017-08-28T20:30:00,a
SG Dynamo Dresden,SpVgg Greuther Fürth,1,1,2017-09-08T18:30:00,h
1. FC Heidenheim 1846,Jahn Regensburg,1,3,2017-09-08T18:30:00,d
FC Ingolstadt 04,Erzgebirge Aue,1,2,2017-09-09T13:00:00,a
Arminia Bielefeld,MSV Duisburg,0,4,2017-09-09T13:00:00,a
Holstein Kiel,1. FC Kaiserslautern,2,1,2017-09-09T13:00:00,h
SV Darmstadt 98,VfL Bochum,1,2,2017-09-10T13:30:00,h
Eintracht Braunschweig,SV Sandhausen,1,1,2017-09-10T13:30:00,d
Fortuna Düsseldorf,1. FC Union Berlin,3,2,2017-09-10T13:30:00,h
1. FC Nürnberg,FC St. Pauli,0,1,2017-09-11T20:30:00,d
1. FC Union Berlin,Eintracht Braunschweig,1,1,2017-09-15T18:30:00,d
Erzgebirge Aue,Holstein Kiel,0,3,2017-09-15T18:30:00,a
FC St. Pauli,FC Ingolstadt 04,0,4,2017-09-16T13:00:00,a
SV Sandhausen,1. FC Kaiserslautern,1,0,2017-09-16T13:00:00,d
MSV Duisburg,1. FC Nürnberg,1,6,2017-09-16T13:00:00,a
SV Darmstadt 98,Arminia Bielefeld,4,3,2017-09-17T13:30:00,a
SpVgg Greuther Fürth,Fortuna Düsseldorf,3,1,2017-09-17T13:30:00,h
VfL Bochum,1. FC Heidenheim 1846,1,2,2017-09-17T13:30:00,d
Jahn Regensburg,SG Dynamo Dresden,0,2,2017-09-17T13:30:00,d
FC Ingolstadt 04,MSV Duisburg,2,2,2017-09-19T18:30:00,d
SV Sandhausen,1. FC Union Berlin,1,0,2017-09-19T18:30:00,d
1. FC Kaiserslautern,Erzgebirge Aue,0,2,2017-09-19T18:30:00,a
Holstein Kiel,FC St. Pauli,0,1,2017-09-19T18:30:00,a
Eintracht Braunschweig,SpVgg Greuther Fürth,3,0,2017-09-20T18:30:00,h
SG Dynamo Dresden,Arminia Bielefeld,0,2,2017-09-20T18:30:00,d
1. FC Heidenheim 1846,SV Darmstadt 98,2,2,2017-09-20T18:30:00,d
Fortuna Düsseldorf,Jahn Regensburg,1,0,2017-09-20T18:30:00,d
1. FC Nürnberg,VfL Bochum,3,1,2017-09-21T20:30:00,d
Erzgebirge Aue,SV Sandhausen,1,0,2017-09-22T18:30:00,h
MSV Duisburg,Holstein Kiel,1,3,2017-09-22T18:30:00,a
FC St. Pauli,Fortuna Düsseldorf,1,2,2017-09-23T13:00:00,a
Arminia Bielefeld,1. FC Heidenheim 1846,1,1,2017-09-23T13:00:00,d
Jahn Regensburg,Eintracht Braunschweig,2,1,2017-09-23T13:00:00,a
SV Darmstadt 98,SG Dynamo Dresden,3,3,2017-09-24T13:30:00,a
SpVgg Greuther Fürth,1. FC Nürnberg,1,3,2017-09-24T13:30:00,a
VfL Bochum,FC Ingolstadt 04,2,0,2017-09-24T13:30:00,h
1. FC Union Berlin,1. FC Kaiserslautern,5,0,2017-09-25T20:30:00,h
FC Ingolstadt 04,SV Darmstadt 98,3,0,2017-09-29T18:30:00,h
1. FC Kaiserslautern,SpVgg Greuther Fürth,3,0,2017-09-29T18:30:00,d
1. FC Nürnberg,Arminia Bielefeld,1,2,2017-09-30T13:00:00,d
Erzgebirge Aue,1. FC Union Berlin,1,2,2017-09-30T13:00:00,d
Holstein Kiel,VfL Bochum,3,0,2017-09-30T13:00:00,h
Eintracht Braunschweig,FC St. Pauli,0,2,2017-10-01T13:30:00,d
1. FC Heidenheim 1846,SG Dynamo Dresden,0,2,2017-10-01T13:30:00,a
SV Sandhausen,Jahn Regensburg,2,0,2017-10-01T13:30:00,d
Fortuna Düsseldorf,MSV Duisburg,3,1,2017-10-02T20:30:00,h
FC St. Pauli,1. FC Kaiserslautern,1,1,2017-10-13T18:30:00,d
MSV Duisburg,Eintracht Braunschweig,0,0,2017-10-13T18:30:00,d
SG Dynamo Dresden,FC Ingolstadt 04,2,2,2017-10-14T13:00:00,a
VfL Bochum,SV Sandhausen,2,0,2017-10-14T13:00:00,h
Arminia Bielefeld,Fortuna Düsseldorf,0,2,2017-10-14T13:00:00,a
1. FC Heidenheim 1846,Holstein Kiel,3,5,2017-10-15T13:30:00,a
SpVgg Greuther Fürth,Erzgebirge Aue,2,1,2017-10-15T13:30:00,h
Jahn Regensburg,1. FC Union Berlin,0,2,2017-10-15T13:30:00,a
SV Darmstadt 98,1. FC Nürnberg,3,4,2017-10-16T20:30:00,d
FC Ingolstadt 04,1. FC Heidenheim 1846,3,0,2017-10-20T18:30:00,h
Fortuna Düsseldorf,SV Darmstadt 98,1,0,2017-10-20T18:30:00,h
Eintracht Braunschweig,VfL Bochum,1,0,2017-10-21T13:00:00,h
1. FC Union Berlin,SpVgg Greuther Fürth,3,1,2017-10-21T13:00:00,h
Holstein Kiel,Arminia Bielefeld,2,1,2017-10-21T13:00:00,d
1. FC Nürnberg,SG Dynamo Dresden,2,1,2017-10-22T13:30:00,h
1. FC Kaiserslautern,MSV Duisburg,0,1,2017-10-22T13:30:00,d
Erzgebirge Aue,Jahn Regensburg,1,0,2017-10-22T13:30:00,d
SV Sandhausen,FC St. Pauli,1,1,2017-10-23T20:30:00,d
FC St. Pauli,Erzgebirge Aue,1,1,2017-10-27T18:30:00,h
Arminia Bielefeld,FC Ingolstadt 04,1,3,2017-10-27T18:30:00,a
SV Darmstadt 98,Holstein Kiel,1,1,2017-10-28T13:00:00,d
SpVgg Greuther Fürth,SV Sandhausen,2,1,2017-10-28T13:00:00,h
Jahn Regensburg,1. FC Kaiserslautern,3,1,2017-10-28T13:00:00,h
SG Dynamo Dresden,Eintracht Braunschweig,1,1,2017-10-29T13:30:00,h
1. FC Heidenheim 1846,1. FC Nürnberg,1,0,2017-10-29T13:30:00,d
MSV Duisburg,1. FC Union Berlin,1,1,2017-10-29T13:30:00,d
VfL Bochum,Fortuna Düsseldorf,0,0,2017-10-30T20:30:00,d
SV Sandhausen,MSV Duisburg,0,1,2017-11-03T18:30:00,a
1. FC Kaiserslautern,VfL Bochum,0,0,2017-11-03T18:30:00,d
Eintracht Braunschweig,SV Darmstadt 98,2,2,2017-11-04T13:00:00,d
1. FC Union Berlin,FC St. Pauli,1,0,2017-11-04T13:00:00,d
Jahn Regensburg,SpVgg Greuther Fürth,3,2,2017-11-04T13:00:00,h
Fortuna Düsseldorf,1. FC Heidenheim 1846,2,2,2017-11-05T13:30:00,d
Erzgebirge Aue,Arminia Bielefeld,1,1,2017-11-05T13:30:00,h
Holstein Kiel,SG Dynamo Dresden,3,0,2017-11-05T13:30:00,h
1. FC Nürnberg,FC Ingolstadt 04,1,2,2017-11-06T20:30:00,d
SV Darmstadt 98,SV Sandhausen,1,2,2017-11-17T18:30:00,a
Arminia Bielefeld,Eintracht Braunschweig,2,2,2017-11-17T18:30:00,h
1. FC Heidenheim 1846,1. FC Union Berlin,4,3,2017-11-18T13:00:00,h
VfL Bochum,SpVgg Greuther Fürth,1,1,2017-11-18T13:00:00,d
1. FC Nürnberg,Holstein Kiel,2,2,2017-11-18T13:00:00,d
FC Ingolstadt 04,Fortuna Düsseldorf,1,0,2017-11-19T13:30:00,h
FC St. Pauli,Jahn Regensburg,2,2,2017-11-19T13:30:00,d
MSV Duisburg,Erzgebirge Aue,3,0,2017-11-19T13:30:00,d
SG Dynamo Dresden,1. FC Kaiserslautern,1,2,2017-11-20T20:30:00,h
1. FC Union Berlin,SV Darmstadt 98,3,3,2017-11-24T18:30:00,h
SV Sandhausen,1. FC Heidenheim 1846,1,2,2017-11-24T18:30:00,h
Eintracht Braunschweig,1. FC Nürnberg,2,3,2017-11-25T13:00:00,d
Holstein Kiel,FC Ingolstadt 04,0,0,2017-11-25T13:00:00,d
Jahn Regensburg,MSV Duisburg,4,0,2017-11-25T13:00:00,h
SpVgg Greuther Fürth,FC St. Pauli,4,0,2017-11-26T13:30:00,h
1. FC Kaiserslautern,Arminia Bielefeld,0,2,2017-11-26T13:30:00,a
Erzgebirge Aue,VfL Bochum,1,1,2017-11-26T13:30:00,d
Fortuna Düsseldorf,SG Dynamo Dresden,1,3,2017-11-27T20:30:00,a
1. FC Heidenheim 1846,1. FC Kaiserslautern,3,2,2017-12-01T18:30:00,d
Arminia Bielefeld,FC St. Pauli,5,0,2017-12-01T18:30:00,h
1. FC Nürnberg,SV Sandhausen,1,0,2017-12-02T13:00:00,d
MSV Duisburg,SpVgg Greuther Fürth,2,0,2017-12-02T13:00:00,h
Holstein Kiel,Fortuna Düsseldorf,2,2,2017-12-02T13:00:00,a
SV Darmstadt 98,Jahn Regensburg,0,1,2017-12-03T13:30:00,d
SG Dynamo Dresden,Erzgebirge Aue,4,0,2017-12-03T13:30:00,h
VfL Bochum,1. FC Union Berlin,2,1,2017-12-03T13:30:00,d
FC Ingolstadt 04,Eintracht Braunschweig,0,2,2017-12-04T20:30:00,d
Eintracht Braunschweig,Holstein Kiel,0,0,2017-12-08T18:30:00,d
Erzgebirge Aue,SV Darmstadt 98,1,0,2017-12-08T18:30:00,h
1. FC Union Berlin,SG Dynamo Dresden,0,1,2017-12-09T13:00:00,d
SpVgg Greuther Fürth,1. FC Heidenheim 1846,1,0,2017-12-09T13:00:00,h
Jahn Regensburg,VfL Bochum,0,1,2017-12-09T13:00:00,a
FC St. Pauli,MSV Duisburg,2,2,2017-12-10T13:30:00,a
SV Sandhausen,Arminia Bielefeld,3,1,2017-12-10T13:30:00,h
1. FC Kaiserslautern,FC Ingolstadt 04,1,1,2017-12-10T13:30:00,h
Fortuna Düsseldorf,1. FC Nürnberg,0,2,2017-12-11T20:30:00,d
Eintracht Braunschweig,Fortuna Düsseldorf,0,1,2017-12-15T18:30:00,a
1. FC Union Berlin,FC Ingolstadt 04,1,2,2017-12-15T18:30:00,d
1. FC Kaiserslautern,1. FC Nürnberg,1,1,2017-12-16T13:00:00,a
Erzgebirge Aue,1. FC Heidenheim 1846,1,1,2017-12-16T13:00:00,h
Jahn Regensburg,Arminia Bielefeld,3,2,2017-12-16T13:00:00,h
SpVgg Greuther Fürth,SV Darmstadt 98,1,1,2017-12-17T13:30:00,h
SV Sandhausen,Holstein Kiel,3,1,2017-12-17T13:30:00,d
MSV Duisburg,SG Dynamo Dresden,2,0,2017-12-17T13:30:00,h
FC St. Pauli,VfL Bochum,2,1,2017-12-18T20:30:00,h
VfL Bochum,MSV Duisburg,0,2,2018-01-23T18:30:00,d
FC Ingolstadt 04,SV Sandhausen,0,0,2018-01-23T20:30:00,d
1. FC Nürnberg,Jahn Regensburg,2,2,2018-01-23T20:30:00,a
Holstein Kiel,1. FC Union Berlin,2,2,2018-01-23T20:30:00,a
SV Darmstadt 98,1. FC Kaiserslautern,1,2,2018-01-24T18:30:00,a
1. FC Heidenheim 1846,Eintracht Braunschweig,2,0,2018-01-24T20:30:00,d
Fortuna Düsseldorf,Erzgebirge Aue,2,1,2018-01-24T20:30:00,h
Arminia Bielefeld,SpVgg Greuther Fürth,0,0,2018-01-24T20:30:00,d
SG Dynamo Dresden,FC St. Pauli,1,3,2018-01-25T20:30:00,a
1. FC Union Berlin,1. FC Nürnberg,0,1,2018-01-26T18:30:00,d
Jahn Regensburg,FC Ingolstadt 04,3,2,2018-01-26T18:30:00,a
SpVgg Greuther Fürth,Holstein Kiel,0,0,2018-01-27T13:00:00,d
1. FC Kaiserslautern,Fortuna Düsseldorf,1,3,2018-01-27T13:00:00,d
MSV Duisburg,1. FC Heidenheim 1846,3,3,2018-01-27T13:00:00,a
FC St. Pauli,SV Darmstadt 98,0,1,2018-01-28T13:30:00,a
SV Sandhausen,SG Dynamo Dresden,1,0,2018-01-28T13:30:00,d
Erzgebirge Aue,Eintracht Braunschweig,1,3,2018-01-28T13:30:00,a
VfL Bochum,Arminia Bielefeld,0,1,2018-01-29T20:30:00,d
Fortuna Düsseldorf,SV Sandhausen,1,0,2018-02-02T18:30:00,h
1. FC Nürnberg,Erzgebirge Aue,4,1,2018-02-02T18:30:00,h
FC Ingolstadt 04,SpVgg Greuther Fürth,3,0,2018-02-03T13:00:00,h
1. FC Heidenheim 1846,FC St. Pauli,3,1,2018-02-03T13:00:00,h
Holstein Kiel,Jahn Regensburg,1,1,2018-02-03T13:00:00,d
SV Darmstadt 98,MSV Duisburg,1,2,2018-02-04T13:30:00,d
Eintracht Braunschweig,1. FC Kaiserslautern,1,2,2018-02-04T13:30:00,a
SG Dynamo Dresden,VfL Bochum,2,0,2018-02-04T13:30:00,h
Arminia Bielefeld,1. FC Union Berlin,1,1,2018-02-05T20:30:00,a
VfL Bochum,SV Darmstadt 98,2,1,2018-02-09T18:30:00,d
1. FC Kaiserslautern,Holstein Kiel,3,1,2018-02-09T18:30:00,h
1. FC Union Berlin,Fortuna Düsseldorf,3,1,2018-02-10T13:00:00,a
MSV Duisburg,Arminia Bielefeld,2,2,2018-02-10T13:00:00,a
Jahn Regensburg,1. FC Heidenheim 1846,2,0,2018-02-10T13:00:00,h
SpVgg Greuther Fürth,SG Dynamo Dresden,1,0,2018-02-11T13:30:00,h
SV Sandhausen,Eintracht Braunschweig,0,0,2018-02-11T13:30:00,d
Erzgebirge Aue,FC Ingolstadt 04,0,0,2018-02-11T13:30:00,d
FC St. Pauli,1. FC Nürnberg,0,0,2018-02-12T20:30:00,d
1. FC Heidenheim 1846,VfL Bochum,1,0,2018-02-16T18:30:00,h
1. FC Kaiserslautern,SV Sandhausen,0,1,2018-02-16T18:30:00,d
FC Ingolstadt 04,FC St. Pauli,0,1,2018-02-17T13:00:00,a
Fortuna Düsseldorf,SpVgg Greuther Fürth,1,1,2018-02-17T13:00:00,a
Arminia Bielefeld,SV Darmstadt 98,2,0,2018-02-17T13:00:00,h
Holstein Kiel,Erzgebirge Aue,2,2,2018-02-17T13:00:00,d
Eintracht Braunschweig,1. FC Union Berlin,1,0,2018-02-18T13:30:00,h
SG Dynamo Dresden,Jahn Regensburg,1,0,2018-02-18T13:30:00,d
1. FC Nürnberg,MSV Duisburg,3,1,2018-02-18T13:30:00,h
Arminia Bielefeld,SG Dynamo Dresden,2,3,2018-02-23T18:30:00,h
Jahn Regensburg,Fortuna Düsseldorf,4,3,2018-02-23T18:30:00,a
1. FC Union Berlin,SV Sandhausen,2,1,2018-02-24T13:00:00,h
SpVgg Greuther Fürth,Eintracht Braunschweig,2,1,2018-02-24T13:00:00,d
Erzgebirge Aue,1. FC Kaiserslautern,2,1,2018-02-24T13:00:00,h
MSV Duisburg,FC Ingolstadt 04,2,1,2018-02-24T13:00:00,d
SV Darmstadt 98,1. FC Heidenheim 1846,1,1,2018-02-25T13:30:00,a
FC St. Pauli,Holstein Kiel,3,2,2018-02-25T13:30:00,a
VfL Bochum,1. FC Nürnberg,0,0,2018-02-25T13:30:00,d
SG Dynamo Dresden,SV Darmstadt 98,0,2,2018-03-02T18:30:00,a
1. FC Kaiserslautern,1. FC Union Berlin,4,3,2018-03-02T18:30:00,h
SV Sandhausen,Erzgebirge Aue,1,1,2018-03-03T13:00:00,d
1. FC Nürnberg,SpVgg Greuther Fürth,0,2,2018-03-03T13:00:00,d
Holstein Kiel,MSV Duisburg,5,0,2018-03-03T13:00:00,h
Eintracht Braunschweig,Jahn Regensburg,2,1,2018-03-04T13:30:00,h
1. FC Heidenheim 1846,Arminia Bielefeld,2,2,2018-03-04T13:30:00,h
Fortuna Düsseldorf,FC St. Pauli,2,1,2018-03-04T13:30:00,h
FC Ingolstadt 04,VfL Bochum,0,1,2018-03-05T20:30:00,a
SG Dynamo Dresden,1. FC Heidenheim 1846,3,2,2018-03-09T18:30:00,h
Arminia Bielefeld,1. FC Nürnberg,1,0,2018-03-09T18:30:00,d
SV Darmstadt 98,FC Ingolstadt 04,1,1,2018-03-10T13:00:00,a
FC St. Pauli,Eintracht Braunschweig,0,0,2018-03-10T13:00:00,d
SpVgg Greuther Fürth,1. FC Kaiserslautern,2,1,2018-03-10T13:00:00,d
VfL Bochum,Holstein Kiel,1,1,2018-03-10T13:00:00,h
1. FC Union Berlin,Erzgebirge Aue,0,0,2018-03-11T13:30:00,d
MSV Duisburg,Fortuna Düsseldorf,1,2,2018-03-11T13:30:00,a
Jahn Regensburg,SV Sandhausen,2,1,2018-03-11T13:30:00,h
Fortuna Düsseldorf,Arminia Bielefeld,4,2,2018-03-16T18:30:00,d
Holstein Kiel,1. FC Heidenheim 1846,2,1,2018-03-16T18:30:00,h
1. FC Union Berlin,Jahn Regensburg,2,2,2018-03-17T13:00:00,h
SV Sandhausen,VfL Bochum,2,3,2018-03-17T13:00:00,h
1. FC Kaiserslautern,FC St. Pauli,1,1,2018-03-17T13:00:00,d
FC Ingolstadt 04,SG Dynamo Dresden,4,2,2018-03-18T13:30:00,h
Eintracht Braunschweig,MSV Duisburg,3,2,2018-03-18T13:30:00,h
1. FC Nürnberg,SV Darmstadt 98,1,1,2018-03-18T13:30:00,a
Erzgebirge Aue,SpVgg Greuther Fürth,2,1,2018-03-19T20:30:00,h
SG Dynamo Dresden,1. FC Nürnberg,1,1,2018-03-31T13:00:00,h
1. FC Heidenheim 1846,FC Ingolstadt 04,1,2,2018-03-31T13:00:00,d
MSV Duisburg,1. FC Kaiserslautern,1,4,2018-03-31T13:00:00,a
FC St. Pauli,SV Sandhausen,1,1,2018-04-01T13:30:00,h
SpVgg Greuther Fürth,1. FC Union Berlin,2,1,2018-04-01T13:30:00,h
VfL Bochum,Eintracht Braunschweig,2,0,2018-04-01T13:30:00,h
Arminia Bielefeld,Holstein Kiel,1,1,2018-04-01T13:30:00,d
Jahn Regensburg,Erzgebirge Aue,1,3,2018-04-01T13:30:00,a
SV Darmstadt 98,Fortuna Düsseldorf,1,0,2018-04-02T20:30:00,h
SV Sandhausen,SpVgg Greuther Fürth,0,0,2018-04-06T18:30:00,d
Fortuna Düsseldorf,VfL Bochum,1,2,2018-04-06T18:30:00,d
1. FC Union Berlin,MSV Duisburg,0,0,2018-04-07T13:00:00,d
1. FC Nürnberg,1. FC Heidenheim 1846,3,2,2018-04-07T13:00:00,h
Erzgebirge Aue,FC St. Pauli,2,1,2018-04-07T13:00:00,d
Holstein Kiel,SV Darmstadt 98,0,0,2018-04-07T13:00:00,d
FC Ingolstadt 04,Arminia Bielefeld,2,2,2018-04-08T13:30:00,d
Eintracht Braunschweig,SG Dynamo Dresden,1,1,2018-04-08T13:30:00,d
1. FC Kaiserslautern,Jahn Regensburg,1,1,2018-04-08T13:30:00,a
SpVgg Greuther Fürth,Jahn Regensburg,1,2,2018-04-13T18:30:00,d
VfL Bochum,1. FC Kaiserslautern,3,2,2018-04-13T18:30:00,h
SG Dynamo Dresden,Holstein Kiel,0,4,2018-04-14T13:00:00,a
FC St. Pauli,1. FC Union Berlin,0,1,2018-04-14T13:00:00,d
Arminia Bielefeld,Erzgebirge Aue,2,0,2018-04-14T13:00:00,h
MSV Duisburg,SV Sandhausen,0,2,2018-04-14T13:00:00,a
FC Ingolstadt 04,1. FC Nürnberg,1,1,2018-04-15T13:30:00,d
SV Darmstadt 98,Eintracht Braunschweig,1,1,2018-04-15T13:30:00,a
1. FC Heidenheim 1846,Fortuna Düsseldorf,3,1,2018-04-15T13:30:00,h
Eintracht Braunschweig,Arminia Bielefeld,0,0,2018-04-20T18:30:00,d
SpVgg Greuther Fürth,VfL Bochum,1,1,2018-04-20T18:30:00,h
1. FC Union Berlin,1. FC Heidenheim 1846,1,1,2018-04-21T13:00:00,d
SV Sandhausen,SV Darmstadt 98,1,1,2018-04-21T13:00:00,h
Jahn Regensburg,FC St. Pauli,3,1,2018-04-21T13:00:00,h
Fortuna Düsseldorf,FC Ingolstadt 04,3,0,2018-04-22T13:30:00,h
